Launch Date,Launch Site,Payload,Orbit,Customer,Launch Outcome
,"CCAFS,SLC-40",Dragon Spacecraft Qualification Unit,,LEO,Failure[9][10](parachute)
[,,,,,"First flight of Falcon 9 v1.0.[11] Used a boilerplate version of Dragon capsule which was not designed to separate from the second stage.(more details below) Attempted to recover the first stage by parachuting it into the ocean, but it burned up on reentry, before the parachutes even deployed.[12]"
[,"CCAFS,SLC-40",Dragon demo flight C1(Dragon C101),,LEO (ISS),Failure[9][14](parachute)
[,,,,,"Maiden flight of Dragon capsule, consisting of over 3 hours of testing thruster maneuvering and reentry.[15] Attempted to recover the first stage by parachuting it into the ocean, but it disintegrated upon reentry, before the parachutes were deployed.[12] (more details below) It also included two CubeSats,[16] and a wheel of Brouère cheese."
[,"CCAFS,SLC-40",Dragon demo flight C2+[18](Dragon C102),"525 kg (1,157 lb)[19]",LEO (ISS),No attempt
[,,,,,"Dragon spacecraft demonstrated a series of tests before it was allowed to approach the International Space Station. Two days later, it became the first commercial spacecraft to board the ISS.[17] (more details below)"
[,"CCAFS,SLC-40",SpaceX CRS-1[22](Dragon C103),"4,700 kg (10,400 lb)",LEO (ISS),No attempt
[,LEO,Orbcomm,Partial failure[25],,Partial failure[25]
[,,,,,"CRS-1 was successful, but the secondary payload was inserted into an abnormally low orbit and subsequently lost. This was due to one of the nine Merlin engines shutting down during the launch, and NASA declining a second reignition, as per ISS visiting vehicle safety rules, the primary payload owner is contractually allowed to decline a second reignition. NASA stated that this was because SpaceX could not guarantee a high enough likelihood of the second stage completing the second burn successfully which was required to avoid any risk of secondary payload's collision with the ISS.[26][27][28]"
,"CCAFS,SLC-40",SpaceX CRS-2[22](Dragon C104),"4,877 kg (10,752 lb)",LEO (ISS),No attempt
[,,,,,"Last launch of the original Falcon 9 v1.0 launch vehicle, first use of the unpressurized trunk section of Dragon.[29]"
[,"VAFB,SLC-4E",CASSIOPE[22][31],"500 kg (1,100 lb)",Polar orbit LEO,Uncontrolled(ocean)[d]
[,,,,,"First commercial mission with a private customer, first launch from Vandenberg, and demonstration flight of Falcon 9 v1.1 with an improved 13-tonne to LEO capacity.[29] After separation from the second stage carrying Canadian commercial and scientific satellites, the first stage booster performed a controlled reentry,[32] and an ocean touchdown test for the first time. This provided good test data, even though the booster started rolling as it neared the ocean, leading to the shutdown of the central engine as the roll depleted it of fuel, resulting in a hard impact with the ocean.[30] This was the first known attempt of a rocket engine being lit to perform a supersonic retro propulsion, and allowed SpaceX to enter a public-private partnership with NASA and its Mars entry, descent, and landing technologies research projects.[33] (more details below)"
[,"CCAFS,SLC-40",SES-8[22][35][36],"3,170 kg (6,990 lb)",GTO,No attempt[38]
[,,,,,"First Geostationary transfer orbit (GTO) launch for Falcon 9,[35] and first successful reignition of the second stage.[39] SES-8 was inserted into a Super-Synchronous Transfer Orbit of 79,341 km (49,300 mi) in apogee with an inclination of 20.55° to the equator."
[,"CCAFS,SLC-40",Thaicom 6[22],"3,325 kg (7,330 lb)",GTO,No attempt[43]
[,,,,,"The Thai communication satellite was the second GTO launch for Falcon 9. The USAF evaluated launch data from this flight as part of a separate certification program for SpaceX to qualify to fly military payloads, but found that the launch had ""unacceptable fuel reserves at engine cutoff of the stage 2 second burnoff"".[44] Thaicom-6 was inserted into a Super-Synchronous Transfer Orbit of 90,039 km (55,948 mi) in apogee with an inclination of 22.46° to the equator."
[,"Cape Canaveral,LC-40",SpaceX CRS-3[22](Dragon C105),"2,296 kg (5,062 lb)[45]",LEO (ISS),Controlled(ocean) [d][46]
[,,,,,"Following second-stage separation, SpaceX conducted a second controlled-descent test of the discarded booster vehicle and achieved the first successful controlled ocean touchdown of a liquid-rocket-engine orbital booster.[47][48] Following the soft touchdown, the first stage tipped over as expected and was destroyed. This was the first Falcon 9 booster to fly with extensible landing legs and the first Dragon mission with the Falcon 9 v1.1 launch vehicle. This flight also launched the ELaNa 5 mission for NASA as a secondary payload.[49][50]"
,"Cape Canaveral,LC-40",Orbcomm-OG2-1(6 satellites)[22],"1,316 kg (2,901 lb)",LEO,Controlled(ocean)[d][46]
[,,,,,"Payload included six satellites weighing 172 kg (379 lb) each and two 142 kg (313 lb) mass simulators.[24][52] Equipped for the second time with landing legs, the first-stage booster successfully conducted a controlled-descent test consisting of a burn for deceleration from hypersonic velocity in the upper atmosphere, a reentry burn, and a final landing burn before soft-landing on the ocean surface.[53]"
,"Cape Canaveral,LC-40",AsiaSat 8[22][54][55],"4,535 kg (9,998 lb)",GTO,No attempt[57]
[,,,,,First time SpaceX managed a launch site turnaround between two flights of under a month (22 days). GTO launch of the large communication satellite from Hong Kong did not allow for propulsive return-over-water and controlled splashdown of the first stage.[57]
,"Cape Canaveral,LC-40",AsiaSat 6[22][54][58],"4,428 kg (9,762 lb)",GTO,No attempt
[,,,,,Launch was delayed for two weeks for additional verifications after a malfunction observed in the development of the F9R Dev1 prototype.[60] GTO launch of the heavy payload did not allow for controlled splashdown.[61]
[,"Cape Canaveral,LC-40",SpaceX CRS-4[22](Dragon C106.1),"2,216 kg (4,885 lb)[62]",LEO (ISS),Uncontrolled(ocean)[d][64]
[,,,,,"Fourth attempt of a soft ocean touchdown,[65] but the booster ran out of liquid oxygen.[64] Detailed thermal imaging infrared sensor data was collected however by NASA, as part of a joint arrangement with SpaceX as part of research on retropropulsive deceleration technologies for developing new approaches to Martian atmospheric entry.[65]"
[,"Cape Canaveral,LC-40",SpaceX CRS-5[68](Dragon C107),"2,395 kg (5,280 lb)[69]",LEO (ISS),Failure (drone ship)
